Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18O_cib_adj,d13C_cib_adj,age_ka
ODP1209,A,5,H,4,0,3,41.2,45.06,CWUEL,2.679,-0.066,3.319,-0.066,2943.5
ODP1209,A,5,H,4,5,7,41.25,45.11,CWUEL,2.528,-0.093,3.168,-0.093,2945.5
ODP1209,A,5,H,4,15,17,41.35,45.21,CWUEL,2.784,-0.088,3.424,-0.088,2949.7
ODP1209,A,5,H,4,25,27,41.45,45.31,CWUEL,2.66,0.23,3.3,0.23,2954.2
ODP1209,A,5,H,4,30,32,41.5,45.36,CWUEL,2.776,-0.124,3.416,-0.124,2956.8
ODP1209,A,5,H,4,32,34,41.52,45.38,CWUEL,2.896,0.241,3.536,0.241,2957.7
ODP1209,A,5,H,4,43,45,41.63,45.49,CWUEL,2.961,0.087,3.601,0.087,2962
ODP1209,A,5,H,4,57,59,41.77,45.63,CWUEL,2.927,0.049,3.567,0.049,2967.1
ODP1209,A,5,H,4,60,62,41.8,45.66,CWUEL,2.944,0.05,3.584,0.05,2968.4
ODP1209,A,5,H,4,65,67,41.85,45.71,CWUEL,2.933,0.041,3.573,0.041,2970.2
ODP1209,A,5,H,4,75,77,41.95,45.81,CWUEL,3.009,-0.151,3.649,-0.151,2974.6
ODP1209,A,5,H,4,85,87,42.05,45.91,CWUEL,3.035,-0.256,3.675,-0.256,2978.9
ODP1209,A,5,H,4,90,92,42.1,45.96,CWUEL,3.011,-0.067,3.651,-0.067,2981.5
ODP1209,A,5,H,4,95,97,42.15,46.01,CWUEL,2.891,-0.141,3.531,-0.141,2983.8
ODP1209,A,5,H,4,107,109,42.27,46.13,CWUEL,2.809,-0.096,3.449,-0.096,2988.9
ODP1209,A,5,H,4,115,117,42.35,46.21,CWUEL,3.004,-0.057,3.644,-0.057,2992.2
ODP1209,A,5,H,4,119,121,42.39,46.25,CWUEL,2.899,-0.07,3.539,-0.07,2994.2
ODP1209,A,5,H,4,125,127,42.45,46.31,CWUEL,2.87,-0.017,3.51,-0.017,2997.1
ODP1209,A,5,H,4,135,137,42.55,46.41,CWUEL,3.006,-0.072,3.646,-0.072,3002.2
ODP1209,A,5,H,4,139,141,42.59,46.45,CWUEL,3.116,-0.138,3.756,-0.138,3004.4
ODP1209,A,5,H,4,142,144,42.62,46.48,CWUEL,3.072,-0.071,3.712,-0.071,3006
ODP1209,A,5,H,5,0,2,42.7,46.56,CWUEL,3.039,0.122,3.679,0.122,3010
ODP1209,A,5,H,5,5,7,42.75,46.61,CWUEL,3.112,-0.004,3.752,-0.004,3012.2
