d13C,d18O,foram_species,depth_mcd,age_ka
1.40,3.53,CWUE,18.629200,500.33500
1.15,3.36,CSPP,18.765900,504.22100
1.32,3.63,CWUE,18.888800,507.71800
1.51,3.83,CWUE,19.025500,511.60500
1.45,3.95,CWUE,19.247800,518.09800
1.48,3.68,CWUE,19.247800,518.09800
1.30,3.73,CSPP,19.326000,520.51500
1.45,3.57,CWUE,19.393500,522.60400
0.85,3.80,CWUE,19.491200,525.62500
0.78,3.71,CWUE,19.491200,525.62500
1.21,3.66,CWUE,19.515700,526.38100
1.10,3.76,CWUE,19.518200,526.46100
0.70,4.14,CWUE,19.551700,527.49700
0.92,3.54,CCIC,19.576700,528.26800
0.50,3.87,CWUE,19.585300,528.53500
0.36,3.99,CWUE,19.618800,529.57100
0.54,4.33,CWUE,19.637700,530.15600
0.40,4.01,CWUE,19.637700,530.15600
0.39,4.29,CWUE,19.658200,530.78900
0.42,4.33,CWUE,19.658200,530.78900
0.36,4.28,CWUE,19.706800,532.29400
0.52,4.34,CWUE,19.706800,532.29400
0.61,4.40,CWUE,19.745700,533.49600
0.47,4.41,CWUE,19.784500,534.69600
0.96,4.50,CWUE,19.823400,535.89900
0.98,4.53,CWUE,19.862200,537.09800
0.75,4.40,CWUE,19.862200,537.09800
0.55,4.45,CWUE,19.901100,538.30100
0.80,4.40,CWUE,19.939800,539.50000
0.19,4.33,CWUE,19.980700,540.76200
0.55,4.47,CWUE,19.980700,540.76200
0.54,4.38,CWUE,20.022200,542.04800
0.77,4.33,CWUE,20.063700,543.33000
0.41,4.16,CWUE,20.105200,544.61600
0.70,4.10,CWUE,20.146800,545.90100
0.62,4.05,CWUE,20.188300,547.86600
0.74,3.94,CWUE,20.229800,549.89400
0.87,4.05,CWUE,20.229800,549.89400
0.68,4.10,CWUE,20.271400,551.92100
0.16,3.77,CWUE,20.312800,553.94400
0.83,3.27,CSPP,20.440900,560.19000
0.97,3.91,CWUE,20.494400,562.80000
0.91,4.04,CWUE,20.574600,566.61500
1.08,3.49,CWUE,20.617100,568.40500
1.21,3.27,CWUE,20.662300,570.30700
1.22,3.09,CWUE,20.707600,572.21400
1.20,3.18,CWUE,20.752800,574.11700
1.22,3.25,CWUE,20.798000,576.02300
0.63,3.27,CBRA,20.843200,577.92600
0.58,3.16,CSPP,20.888500,579.83200
0.26,3.46,CBRA,20.933700,581.73500
0.35,4.27,CWUE,20.933700,581.73500
0.15,4.04,CWUE,20.979000,583.64200
-0.33,3.82,CWUE,21.024200,585.54400
0.07,4.23,CWUE,21.069500,587.45100
1.05,3.80,CWUE,21.106100,588.99600
0.68,4.13,CWUE,21.142700,590.45900
0.86,4.22,CWUE,21.142700,590.45900
1.00,3.79,CWUE,21.216000,593.09900
0.96,3.73,CWUE,21.289200,595.74000
1.01,3.95,CWUE,21.362500,598.38000
0.72,3.92,CWUE,21.399100,599.70200
0.97,3.72,CWUE,21.437900,601.10000
0.36,3.92,CWUE,21.437900,601.10000
0.14,3.97,CWUE,21.488700,602.93000
0.43,3.96,CWUE,21.488700,602.93000
0.81,3.79,CWUE,21.539400,604.75600
1.16,4.33,CWUE,21.590100,606.58600
1.07,3.66,CWUE,21.640800,608.41200
1.22,3.31,CWUE,21.691500,610.24100
1.00,3.64,CWUE,21.742200,612.06700
1.08,3.60,CWUE,21.742200,612.06700
1.14,3.60,CWUE,21.793000,613.89700
1.15,3.17,CWUE,21.843600,615.72300
0.99,3.34,CWUE,21.843600,615.72300
1.02,3.40,CWUE,21.894400,617.55300
0.95,3.50,CWUE,21.945000,619.37900
0.41,3.84,CWUE,21.995800,621.25700
0.30,4.93,CWUE,22.045300,623.45800
0.03,4.62,CWUE,22.093800,625.61600
0.15,4.98,CWUE,22.142300,627.76900
0.13,5.02,CWUE,22.190800,629.92200
0.39,4.98,CWUE,22.239300,632.08000
0.30,4.96,CWUE,22.287800,634.02800
0.53,4.97,CWUE,22.336300,635.82600
0.44,5.01,CWUE,22.384800,637.62100
0.14,4.71,CWUE,22.384800,637.62100
0.39,4.81,CWUE,22.433300,639.41900
0.44,4.81,CWUE,22.433300,639.41900
0.22,4.87,CWUE,22.481800,641.21400
0.33,4.75,CWUE,22.530300,643.01200
0.10,4.66,CWUE,22.578800,644.80700
-0.13,4.64,CWUE,22.627300,646.60500
0.23,4.68,CWUE,22.675800,648.39900
0.53,4.58,CWUE,22.724300,650.19800
0.59,4.62,CWUE,22.767000,651.77600
0.26,4.48,CWUE,22.806900,653.25500
0.21,4.48,CWUE,22.846700,654.73000
0.14,4.52,CWUE,22.886600,656.20900
0.58,4.46,CWUE,22.926500,657.68400
-0.01,4.36,CWUE,22.966400,659.16300
-0.15,4.46,CWUE,23.006200,660.63900
0.70,4.27,CWUE,23.046200,662.11700
0.70,4.08,CWUE,23.046200,662.11700
0.81,4.38,CWUE,23.086000,663.59300
0.37,4.43,CWUE,23.125900,665.07100
-0.60,4.32,CSPP,23.165800,666.54700
-0.24,4.56,CWUE,23.205900,668.03500
0.36,4.45,CWUE,23.246200,669.52600
0.25,4.55,CWUE,23.246200,669.52600
0.20,4.25,CWUE,23.286400,671.01600
-0.43,4.31,CWUE,23.326800,672.51000
-0.12,4.46,CWUE,23.367000,674.00100
0.24,4.39,CWUE,23.407400,675.49500
0.62,4.28,CWUE,23.447600,676.98500
0.67,3.95,CWUE,23.487900,678.47900
0.61,4.04,CWUE,23.528200,679.97000
0.71,4.19,CWUE,23.528200,679.97000
0.34,4.00,CWUE,23.608800,682.95400
0.85,3.90,CKULL,23.689300,685.93900
