depth,age_ka,d13C
123.84,2607.7,0.43
123.94,2610.2,0.65
124.04,2612.7,0.72
124.14,2615.1,0.97
124.24,2617.2,0.83
124.36,2619.9,0.51
124.46,2622.1,0.99
124.56,2624.2,0.95
124.74,2628.2,1.04
124.84,2630.4,0.85
124.94,2632.6,0.94
125.04,2634.7,0.92
125.14,2636.9,0.89
125.24,2638.7,0.79
125.34,2640.5,0.74
125.44,2642.3,0.8
125.55,2644.2,0.51
125.65,2646,0.88
125.76,2648,0.81
125.86,2649.8,0.79
125.96,2651.6,0.81
126.06,2654.1,0.86
126.16,2656.6,1.08
126.26,2659,0.92
126.36,2661.5,1.12
126.46,2663.9,0.92
126.56,2666.4,1.13
126.66,2668.9,0.88
126.76,2671.3,0.76
126.86,2673.8,0.92
126.96,2676.2,0.92
127.06,2678.7,1.02
127.16,2680.8,0.65
127.26,2682.4,0.73
127.36,2684,0.69
127.46,2685.7,0.64
127.56,2687.3,0.74
127.66,2688.9,1
127.76,2690.6,0.84
127.86,2692.7,0.54
127.96,2694.8,0.88
128.06,2696.8,0.79
128.16,2698.9,0.82
128.26,2701,0.63
128.36,2703,0.45
128.46,2705,0.42
128.56,2707,0.62
128.66,2708.9,0.42
128.76,2710.8,0.47
128.86,2712.7,0.51
128.96,2714.7,0.44
129.06,2716.6,0.55
129.16,2718.5,0.4
129.26,2720.5,0.39
129.36,2722.4,0.54
129.46,2724.3,0.45
129.56,2726.2,0.87
129.66,2728.2,0.7
129.76,2730.1,0.65
129.86,2732.2,0.67
129.96,2734.5,0.42
130.06,2736.8,0.61
130.16,2739.2,1.02
130.26,2741.5,1
130.36,2743.8,1.01
130.46,2746.1,0.95
130.56,2748.4,0.46
130.66,2750.7,0.81
130.76,2753.2,0.83
130.86,2755.9,0.87
130.96,2758.6,0.78
131.06,2761.3,0.61
131.16,2764.1,0.82
131.26,2766.8,0.47
131.36,2769.5,0.87
131.46,2772.2,0.96
131.56,2774.9,1.14
131.66,2777.6,0.83
131.76,2780.3,0.7
131.86,2783,0.89
131.96,2785.8,1.09
132.06,2788.5,0.88
132.16,2791.2,0.73
132.26,2793.9,0.47
132.36,2796.6,1
132.46,2799.9,0.57
132.56,2803.2,0.63
132.66,2806.6,0.79
132.76,2809.9,0.75
132.86,2813.3,0.54
132.96,2816.7,0.78
133.06,2820,0.68
133.16,2821.8,1.08
133.26,2823.5,1.1
133.36,2825.3,1.11
133.46,2827.1,0.88
133.66,2830.6,1.3
133.76,2832.3,1.01
133.86,2834.1,1.14
133.96,2835.8,0.86
134.06,2837.6,1.07
134.16,2839.8,0.9
134.26,2842.3,0.86
134.36,2844.8,0.73
134.46,2847.3,0.94
134.56,2849.8,0.71
134.66,2852.3,0.95
134.76,2854.8,0.85
134.86,2857.4,0.79
134.96,2859.8,0.93
135.06,2862.2,0.95
135.16,2864.7,0.97
135.26,2867.1,1.03
135.36,2869.5,1.08
135.46,2871.9,1.03
135.56,2874.4,0.84
135.66,2876.6,0.73
135.76,2878.4,0.57
135.86,2880.1,0.72
135.96,2881.9,0.77
136.06,2883.7,0.79
136.16,2885.4,0.83
136.26,2887.2,0.67
136.36,2888.9,0.83
136.46,2890.7,0.65
136.56,2892.5,0.65
136.66,2894.4,0.98
136.76,2896.3,0.87
136.86,2898.3,0.86
136.96,2900.2,0.96
137.06,2902.2,0.91
137.16,2904.1,0.92
137.26,2906.1,0.69
137.36,2908,0.84
137.46,2910,0.49
137.56,2911.9,0.81
137.66,2914.5,0.79
137.76,2917.2,0.78
137.78,2917.7,0.61
137.88,2920.4,0.52
137.98,2923.1,0.65
138.08,2925.8,0.72
138.18,2928.5,0.61
138.28,2931.2,0.65
138.38,2933.9,0.37
138.48,2936.6,0.59
138.58,2938.8,0.7
138.68,2940.7,0.98
138.78,2942.7,0.86
138.88,2944.7,0.78
138.98,2946.7,0.74
139.08,2948.6,0.8
139.18,2950.6,0.95
139.48,2956.6,0.9
139.58,2958.5,0.96
139.78,2962.5,0.89
139.98,2966.4,0.93
140.08,2968.4,0.55
140.18,2970.4,0.81
140.28,2972.3,0.71
140.38,2974.3,0.84
140.48,2976.2,0.49
140.58,2978.2,0.49
140.68,2980.2,0.66
140.78,2982.1,0.86
140.88,2984.4,0.58
140.98,2986.7,0.95
141.08,2989.1,0.65
141.18,2991.4,0.81
141.28,2993.7,0.67
141.36,2995.6,0.65
141.38,2996.1,0.76
141.46,2998,0.43
141.48,2998.4,0.72
141.56,3000.6,0.78
141.66,3003.6,0.66
141.76,3006.6,0.59
141.86,3009.7,0.54
141.96,3012.7,0.42
142.06,3015.7,0.51
142.16,3018.8,0.55
142.26,3021.8,0.43
142.36,3024.8,0.58
142.46,3027.8,0.67
142.56,3030.6,0.61
142.66,3033.5,0.69
142.76,3036.3,0.73
142.96,3042,0.69
143.06,3044.8,0.5
143.16,3047.6,0.37
143.26,3050.5,0.5
143.36,3053.3,0.58
143.46,3056,0.68
143.56,3058.5,0.53
143.66,3061,0.81
143.76,3063.5,0.78
143.86,3066.1,0.64
143.96,3068.6,0.86
144.06,3071.1,0.91
144.16,3073.6,1.02
144.26,3076.1,0.87
144.36,3078.6,1.05
144.46,3081.1,0.91
144.56,3083.6,0.84
144.66,3086.1,0.82
144.76,3088.4,0.9
144.86,3090.3,0.63
144.96,3092.2,0.96
145.06,3094.2,0.81
145.16,3096.1,0.47
145.26,3098,0.78
145.36,3100,0.74
145.46,3101.9,0.92
145.56,3103.8,0.56
145.66,3105.7,0.87
145.76,3107.7,0.74
145.86,3109.6,0.73
145.96,3111.5,0.77
146.06,3113.5,0.75
146.16,3115.4,0.77
146.26,3117.3,0.72
146.36,3119.7,0.79
146.46,3122.5,0.78
146.56,3125.2,0.81
146.66,3127.9,0.92
146.76,3130.7,0.76
146.86,3133.4,0.4
146.96,3136.2,0.62
147.06,3138.9,0.59
147.16,3141.6,0.57
147.26,3144.4,0.53
147.46,3150,0.81
147.56,3154,0.77
147.66,3157.9,0.58
147.86,3165.9,0.69
147.96,3168,0.91
147.98,3168.5,0.79
148.08,3170.7,0.46
148.18,3172.8,0.76
148.38,3177.2,0.87
148.48,3179.4,0.76
148.58,3181.6,0.81
148.68,3183.8,0.93
148.78,3185.9,0.89
148.88,3188,0.84
148.98,3190,0.65
149.08,3192,0.97
149.18,3194,0.93
149.28,3196.1,1.04
149.38,3198.1,0.94
149.48,3200.1,1.11
149.58,3202.1,1.01
149.68,3204.2,0.88
149.78,3206.2,0.54
149.88,3208.2,0.69
149.98,3210.2,0.97
150.08,3212.5,1.18
150.18,3214.9,1.01
150.28,3217.3,1.07
150.38,3219.8,1.15
150.48,3222.2,1.06
150.58,3224.6,0.97
150.68,3227,1.08
150.78,3229.5,0.96
150.88,3231.9,0.85
150.98,3234.3,0.98
151.08,3236.7,0.93
151.18,3239.1,0.99
151.28,3241.5,0.69
151.38,3243.9,1.16
151.48,3246.3,0.82
151.58,3248.7,0.92
151.68,3251.1,0.9
151.78,3253.5,0.72
151.88,3255.9,0.78
151.98,3258.3,0.78
152.08,3260.7,0.66
152.18,3263.1,0.81
152.28,3265.5,0.91
152.38,3267.9,0.84
152.48,3270.3,0.99
152.58,3272.7,0.6
152.68,3275.1,0.78
152.78,3277.5,0.83
152.88,3279.9,0.72
152.98,3282.3,0.64
153.08,3284.7,0.72
153.18,3287,0.56
153.08,3284.7,0.72
153.18,3287,0.56
153.28,3289.1,0.47
153.38,3291.2,0.42
153.48,3293.4,0.52
153.58,3295.5,0.55
153.68,3297.6,0.6
153.78,3299.7,0.62
153.88,3301.9,0.73
153.98,3304,0.56
154.08,3306.1,0.47
154.18,3308.3,0.74
154.28,3310.4,0.68
154.38,3312.5,0.9
154.48,3314.7,0.93
154.58,3316.8,0.8
154.68,3318.9,0.71
154.78,3321,0.59
