mcd,age
53.57,3384.726563
53.67,3388.729581
53.77,3392.732599
53.87,3396.513228
53.97,3400.516246
54.07,3404.296875
54.17,3408.077504
54.27,3411.858132
54.37,3415.861151
54.47,3419.864169
54.57,3423.867188
54.67,3428.092596
54.77,3432.095614
54.87,3435.876243
54.97,3439.656871
55.07,3443.4375
55.17,3447.218129
55.27,3450.998757
55.37,3454.779386
55.47,3458.560014
55.57,3462.563033
55.67,3466.566051
55.8,3471.458629
55.87,3474.127308
55.97,3478.130327
56.07,3482.355735
56.17,3486.358754
56.27,3490.806552
56.37,3495.03196
56.47,3498.812589
56.57,3502.815607
56.67,3507.041016
56.77,3511.488814
56.87,3516.159002
56.98,3521.49636
57.06,3526.388938
57.07,3526.833718
57.16,3532.393466
57.17,3533.060636
57.26,3538.397994
57.36,3543.735352
57.46,3548.85032
57.56,3554.187678
57.66,3559.747425
57.76,3565.307173
57.86,3570.866921
57.98,3577.761009
58.06,3581.764027
58.16,3587.323775
58.28,3595.552202
58.36,3600
