Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Age (HMM)
S17 2136,ODP1209,B,5,H,5,45,47,40.05,43.77,2883.2
S17 2137,ODP1209,B,5,H,5,55,57,40.15,43.87,2887.9
S18 1713,ODP1209,B,5,H,5,60,62,40.2,43.92,2890.6
S17 2138,ODP1209,B,5,H,5,65,67,40.25,43.97,2893.2
S17 2139,ODP1209,B,5,H,5,78,80,40.38,44.1,2899.5
S17 2140,ODP1209,B,5,H,5,85,87,40.45,44.17,2902.4
S17 3166,ODP1209,A,5,H,3,65,67,40.35,44.21,2904.4
S18 1714,ODP1209,B,5,H,5,91,93,40.51,44.23,2905.5
S17 2141,ODP1209,B,5,H,5,95,97,40.55,44.27,2907.0
S17 3167,ODP1209,A,5,H,3,75,77,40.45,44.31,2908.6
S17 3168,ODP1209,A,5,H,3,85,87,40.55,44.41,2912.8
S17 3169,ODP1209,A,5,H,3,95,97,40.65,44.51,2916.6
S17 3170,ODP1209,A,5,H,3,105,107,40.75,44.61,2921.0
S17 3171,ODP1209,A,5,H,3,115,117,40.85,44.71,2926.4
S17 3172,ODP1209,A,5,H,3,125,127,40.95,44.81,2931.9
S17 3173,ODP1209,A,5,H,3,131,133,41.01,44.87,2935.5
S17 3174,ODP1209,A,5,H,3,145,147,41.15,45.01,2941.3
S18 1715,ODP1209,A,5,H,4,0,3,41.2,45.06,2943.5
S17 3151,ODP1209,A,5,H,4,5,7,41.25,45.11,2945.5
S17 3152,ODP1209,A,5,H,4,15,17,41.35,45.21,2949.7
S17 3153,ODP1209,A,5,H,4,25,27,41.45,45.31,2954.2
S17 3154,ODP1209,A,5,H,4,30,32,41.5,45.36,2956.8
S18 1716,ODP1209,A,5,H,4,32,34,41.52,45.38,2957.7
S17 3155,ODP1209,A,5,H,4,43,45,41.63,45.49,2962.0
S17 3156,ODP1209,A,5,H,4,57,59,41.77,45.63,2967.1
S18 1717,ODP1209,A,5,H,4,60,62,41.8,45.66,2968.4
S17 3157,ODP1209,A,5,H,4,65,67,41.85,45.71,2970.2
S17 3158,ODP1209,A,5,H,4,75,77,41.95,45.81,2974.6
S17 3159,ODP1209,A,5,H,4,85,87,42.05,45.91,2978.9
S18 1718,ODP1209,A,5,H,4,90,92,42.1,45.96,2981.5
S17 3160,ODP1209,A,5,H,4,95,97,42.15,46.01,2983.8
S17 3161,ODP1209,A,5,H,4,107,109,42.27,46.13,2988.9
S17 3162,ODP1209,A,5,H,4,115,117,42.35,46.21,2992.2
S18 1719,ODP1209,A,5,H,4,119,121,42.39,46.25,2994.2
S17 3163,ODP1209,A,5,H,4,125,127,42.45,46.31,2997.1
S17 3164,ODP1209,A,5,H,4,135,137,42.55,46.41,3002.2
S18 1720,ODP1209,A,5,H,4,139,141,42.59,46.45,3004.4
S17 3165,ODP1209,A,5,H,4,142,144,42.62,46.48,3006.0
S18 1721,ODP1209,A,5,H,5,0,2,42.7,46.56,3010.0
S17 2773,ODP1209,A,5,H,5,5,7,42.75,46.61,3012.2
S17 2774,ODP1209,A,5,H,5,15,17,42.85,46.71,3016.7
S17 2775,ODP1209,A,5,H,5,25,27,42.95,46.81,3020.9
S18 1722,ODP1209,A,5,H,5,30,32,43,46.86,3023.3
S17 2776,ODP1209,A,5,H,5,37,39,43.07,46.93,3026.7
S17 2881,ODP1209,A,5,H,5,45,47,43.15,47.01,3031.8
S17 2882,ODP1209,A,5,H,5,55,57,43.25,47.11,3038.5
S18 1723,ODP1209,A,5,H,5,60,62,43.3,47.16,3042.0
S17 2883,ODP1209,A,5,H,5,65,67,43.35,47.21,3044.9
S17 2884,ODP1209,A,5,H,5,75,77,43.45,47.31,3050.0
S17 2885,ODP1209,A,5,H,5,85,87,43.55,47.41,3055.4
