Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,age_ka
ODP1209,B,5,H,4,135,137,39.45,43.17,UVIG,3.367,-0.426,2856.3
ODP1209,B,5,H,4,145,147,39.55,43.27,,,,2860.1
ODP1209,B,5,H,5,2,4,39.62,43.34,UVIG,3.613,-0.499,2863
ODP1209,B,5,H,5,5,7,39.65,43.37,,,,2864.3
ODP1209,B,5,H,5,15,17,39.75,43.47,UVIG,3.529,-0.461,2869
ODP1209,B,5,H,5,25,27,39.85,43.57,UVIG,3.732,-0.598,2873.5
ODP1209,B,5,H,5,30,32,39.9,43.62,UVIG,3.769,-0.862,2876.1
ODP1209,B,5,H,5,35,37,39.95,43.67,UVIG,3.796,-0.629,2878.3
ODP1209,B,5,H,5,45,47,40.05,43.77,UVIG,3.74,-0.474,2883.2
ODP1209,B,5,H,5,55,57,40.15,43.87,UVIG,3.624,-0.371,2887.9
ODP1209,B,5,H,5,60,62,40.2,43.92,UVIG,3.655,-0.414,2890.6
ODP1209,B,5,H,5,65,67,40.25,43.97,UVIG,3.588,-0.388,2893.2
ODP1209,B,5,H,5,78,80,40.38,44.1,UVIG,3.413,-0.389,2899.5
ODP1209,B,5,H,5,85,87,40.45,44.17,UVIG,3.437,-0.43,2902.4
ODP1209,A,5,H,3,65,67,40.35,44.21,,,,2904.4
ODP1209,B,5,H,5,91,93,40.51,44.23,UVIG,3.611,-0.557,2905.5
ODP1209,B,5,H,5,95,97,40.55,44.27,UVIG,3.541,-0.452,2907
ODP1209,A,5,H,3,75,77,40.45,44.31,,,,2908.6
ODP1209,A,5,H,3,85,87,40.55,44.41,,,,2912.8
ODP1209,A,5,H,3,95,97,40.65,44.51,,,,2916.6
ODP1209,A,5,H,3,105,107,40.75,44.61,,,,2921
ODP1209,A,5,H,3,115,117,40.85,44.71,,,,2926.4
ODP1209,A,5,H,3,125,127,40.95,44.81,UVIG,3.832,-0.819,2931.9
ODP1209,A,5,H,3,131,133,41.01,44.87,,,,2935.5
ODP1209,A,5,H,3,145,147,41.15,45.01,,,,2941.3
ODP1209,A,5,H,4,0,3,41.2,45.06,UVIG,3.757,-0.706,2943.5
ODP1209,A,5,H,4,5,7,41.25,45.11,UVIG,3.681,-0.753,2945.5
ODP1209,A,5,H,4,15,17,41.35,45.21,,,,2949.7
ODP1209,A,5,H,4,25,27,41.45,45.31,,,,2954.2
ODP1209,A,5,H,4,30,32,41.5,45.36,UVIG,3.761,-0.622,2956.8
ODP1209,A,5,H,4,32,34,41.52,45.38,UVIG,3.693,-0.752,2957.7
ODP1209,A,5,H,4,43,45,41.63,45.49,,,,2962
ODP1209,A,5,H,4,57,59,41.77,45.63,,,,2967.1
ODP1209,A,5,H,4,60,62,41.8,45.66,,,,2968.4
ODP1209,A,5,H,4,65,67,41.85,45.71,,,,2970.2
ODP1209,A,5,H,4,75,77,41.95,45.81,,,,2974.6
ODP1209,A,5,H,4,85,87,42.05,45.91,,,,2978.9
ODP1209,A,5,H,4,90,92,42.1,45.96,UVIG,3.669,-0.649,2981.5
ODP1209,A,5,H,4,95,97,42.15,46.01,UVIG,3.392,-0.52,2983.8
ODP1209,A,5,H,4,107,109,42.27,46.13,,,,2988.9
ODP1209,A,5,H,4,115,117,42.35,46.21,,,,2992.2
ODP1209,A,5,H,4,119,121,42.39,46.25,UVIG,3.595,-0.524,2994.2
ODP1209,A,5,H,4,125,127,42.45,46.31,,,,2997.1
ODP1209,A,5,H,4,135,137,42.55,46.41,,,,3002.2
ODP1209,A,5,H,4,139,141,42.59,46.45,UVIG,3.722,-0.779,3004.4
ODP1209,A,5,H,4,142,144,42.62,46.48,,,,3006
ODP1209,A,5,H,5,0,2,42.7,46.56,UVIG,3.798,-0.787,3010
ODP1209,A,5,H,5,5,7,42.75,46.61,,,,3012.2
ODP1209,A,5,H,5,15,17,42.85,46.71,,,,3016.7
ODP1209,A,5,H,5,25,27,42.95,46.81,,,,3020.9
ODP1209,A,5,H,5,30,32,43,46.86,UVIG,3.886,-0.87,3023.3
ODP1209,A,5,H,5,37,39,43.07,46.93,,,,3026.7
ODP1209,A,5,H,5,45,47,43.15,47.01,,,,3031.8
ODP1209,A,5,H,5,55,57,43.25,47.11,,,,3038.5
ODP1209,A,5,H,5,60,62,43.3,47.16,,,,3042
ODP1209,A,5,H,5,65,67,43.35,47.21,,,,3044.9
ODP1209,A,5,H,5,75,77,43.45,47.31,,,,3050
ODP1209,A,5,H,5,85,87,43.55,47.41,,,,3055.4
ODP1209,A,5,H,5,90,92,43.6,47.46,UVIG,3.422,-0.656,3058.7
ODP1209,A,5,H,5,95,97,43.65,47.51,,,,3061.4
ODP1209,A,5,H,5,107,109,43.77,47.63,UVIG,3.378,-0.483,3067.8
ODP1209,A,5,H,5,115,117,43.85,47.71,UVIG,3.409,-0.768,3072.3
ODP1209,A,5,H,5,120,122,43.9,47.76,UVIG,3.448,-0.598,3075.6
ODP1209,A,5,H,5,125,127,43.95,47.81,,,,3078.9
ODP1209,A,5,H,5,135,137,44.05,47.91,UVIG,3.369,-0.473,3085.2
ODP1209,A,5,H,5,140,142,44.1,47.96,UVIG,3.594,-0.458,3088.7
ODP1209,A,5,H,5,145,147,44.15,48.01,UVIG,3.3,-0.563,3091.8
ODP1209,A,5,H,6,0,2,44.2,48.06,,,,3095.2
ODP1209,A,5,H,6,5,7,44.25,48.11,,,,3098.3
ODP1209,A,5,H,6,15,17,44.35,48.21,UVIG,3.473,-0.435,3103.6
ODP1209,A,5,H,6,25,27,44.45,48.31,UVIG,3.514,-0.646,3109
ODP1209,A,5,H,6,30,32,44.5,48.36,UVIG,3.47,-0.448,3111.9
ODP1209,A,5,H,6,35,37,44.55,48.41,UVIG,3.394,-0.606,3114.3
ODP1209,A,5,H,6,45,47,44.65,48.51,UVIG,3.595,-0.64,3118.7
ODP1209,A,5,H,6,55,57,44.75,48.61,,,,3123.2
ODP1209,A,5,H,6,60,62,44.8,48.66,,,,3125.4
ODP1209,A,5,H,6,65,67,44.85,48.71,,,,3127.2
ODP1209,A,5,H,6,75,77,44.95,48.81,UVIG,3.605,-0.85,3131.2
ODP1209,A,5,H,6,85,87,45.05,48.91,,,,3135.4
ODP1209,A,5,H,6,90,92,45.1,48.96,UVIG,3.786,-0.871,3138.1
ODP1209,A,5,H,6,95,97,45.15,49.01,UVIG,3.756,-0.925,3140.8
ODP1209,A,5,H,6,106,108,45.26,49.12,UVIG,3.727,-0.953,3146.8
ODP1209,B,6,H,1,15,17,43.25,49.17,UVIG,3.305,-0.665,3149.9
ODP1209,A,5,H,6,115,117,45.35,49.21,UVIG,3.208,-0.481,3153
ODP1209,B,6,H,1,25,27,43.35,49.27,UVIG,3.129,-0.614,3156.8
ODP1209,B,6,H,1,30,32,43.4,49.32,UVIG,3.179,-0.539,3159.9
ODP1209,B,6,H,1,35,37,43.45,49.37,UVIG,3.012,-0.386,3162.6
ODP1209,B,6,H,1,45,47,43.55,49.47,UVIG,3.296,-0.468,3167.7
ODP1209,B,6,H,1,55,57,43.65,49.57,,,,3172.6
ODP1209,B,6,H,1,60,62,43.7,49.62,UVIG,3.505,-0.427,3175.7
ODP1209,B,6,H,1,65,67,43.75,49.67,UVIG,3.44,-0.887,3178.8
ODP1209,B,6,H,1,78,80,43.88,49.8,,,,3186.1
ODP1209,B,6,H,1,85,87,43.95,49.87,UVIG,3.064,-0.454,3190.6
ODP1209,B,6,H,1,90,92,44,49.92,,,,3194.1
ODP1209,B,6,H,1,95,97,44.05,49.97,,,,3197.5
ODP1209,B,6,H,1,105,107,44.15,50.07,,,,3203.9
ODP1209,B,6,H,1,115,117,44.25,50.17,,,,3209.7
ODP1209,B,6,H,1,120,122,44.3,50.22,UVIG,3.421,-0.119,3212.6
ODP1209,B,6,H,1,125,127,44.35,50.27,UVIG,3.311,-0.246,3214.8
ODP1209,B,6,H,1,135,137,44.45,50.37,UVIG,3.466,-0.313,3219
ODP1209,B,6,H,1,140,142,44.5,50.42,UVIG,3.499,-0.223,3221.7
ODP1209,B,6,H,1,145,147,44.55,50.47,UVIG,3.42,-0.372,3224.2
ODP1209,B,6,H,2,0,2,44.6,50.52,UVIG,3.435,-0.301,3227.1
ODP1209,B,6,H,2,5,7,44.65,50.57,UVIG,3.564,-0.299,3229.9
ODP1209,B,6,H,2,15,17,44.75,50.67,UVIG,3.478,-0.379,3235.7
ODP1209,B,6,H,2,25,27,44.85,50.77,UVIG,3.452,-0.3,3241.1
ODP1209,B,6,H,2,30,32,44.9,50.82,,,,3244
ODP1209,B,6,H,2,35,37,44.95,50.87,,,,3246.4
ODP1209,B,6,H,2,45,47,45.05,50.97,,,,3250.6
ODP1209,B,6,H,2,55,57,45.15,51.07,,,,3254.9
ODP1209,B,6,H,2,60,62,45.2,51.12,,,,3257.5
ODP1209,B,6,H,2,65,67,45.25,51.17,,,,3260.4
ODP1209,B,6,H,2,75,77,45.35,51.27,,,,3266
ODP1209,B,6,H,2,85,87,45.45,51.37,,,,3272.2
ODP1209,B,6,H,2,90,92,45.5,51.42,UVIG,3.411,-0.508,3274.9
ODP1209,B,6,H,2,95,97,45.55,51.47,UVIG,3.447,-0.789,3277.3
ODP1209,B,6,H,2,105,107,45.65,51.57,,,,3281.5
ODP1209,B,6,H,2,115,117,45.75,51.67,UVIG,3.831,-0.959,3286
ODP1209,B,6,H,2,120,122,45.8,51.72,UVIG,3.728,-0.899,3288.7
ODP1209,B,6,H,2,125,127,45.85,51.77,UVIG,3.835,-1.095,3291.8
ODP1209,B,6,H,2,135,137,45.95,51.87,UVIG,3.489,-0.668,3297.3
ODP1209,B,6,H,2,140,142,46,51.92,UVIG,3.924,-1.007,3300
ODP1209,B,6,H,2,145,147,46.05,51.97,UVIG,3.593,-0.776,3303.1
ODP1209,B,6,H,3,2,4,46.12,52.04,UVIG,3.52,-0.924,3307.3
ODP1209,B,6,H,3,5,7,46.15,52.07,,,,3309.3
ODP1209,B,6,H,3,15,17,46.25,52.17,,,,3315.8
ODP1209,B,6,H,3,25,27,46.35,52.27,,,,3323.1
ODP1209,B,6,H,3,30,32,46.4,52.32,,,,3326.5
ODP1209,B,6,H,3,35,37,46.45,52.37,,,,3329.6
